Id	Name	IsSelect	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]
1	Repairer (Extreme)	0	92030	91030	90030							
2	Ground Monitor (Extreme)	0	92090	91090	90090							
3	Aerial Monitor (Extreme)	0	92100	91100	90100							
4	Pilgrim (Extreme)	0	91110	90110								
5	Protector (Extreme)	0	91120									
6	Hydraulic (Extreme)	0	92150	91150	90150							
7	Sentry Gun (Extreme)	0	92160	91160	90160							
8	Missionary (Extreme)	0	91170									
9	Executor (Extreme)	0	91180	90180								
10	Gardener (Extreme)	0	91210	90210								
11	Ronin IV (Extreme)	0	90250									
12	Bio-Salamander (Extreme)	0	90260									
13	Envoy (Extreme)	0	90330									
14	Royal Guard (Extreme)	0	90340									
15	Firefighter (Extreme)	0	90350									
16	Deconstructor (Extreme)	0	90360									
17	Explorer (Extreme)	0	90370									
18	Bio-Bull (Extreme)	0	90400									
19	Acid Ant (Extreme)	0	90410									
20	Musashi VI (Extreme)	0	90420									
21	Musashi IX (Extreme)	0	90430									
22	Terrapod (Extreme)	0	90440									
23	Musashi IX	0	81200									
24	Nozzle	0	81500									
