Id	CharacterID	Pic	Title	Description	NextTrialID
1	1011002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	Controlling Bullet	After pinging a Yellow Orb, next Red Orb will inflict Blast and deal Fire DMG to a small area.	2
2	1011002		Recommended Combo	Infernal Shot will create a burning area after hitting enemies. Attacking the enemies within it will deal additional Fire DMG.	1
3	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	Lotus - Dual Blades	Pinging a Red Orb within 4 seconds after any 3-Ping will make Lucia Burst. Lucia then replaces Basic Attacks with Dual Blades.	4
4	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya02.png	Recommended Combo	Attacks will deal an additional Fire DMG after a Blue Orb 3-Ping. Ping a Red Orb next to attack with "Lotus - Dual Blades" to deal CRIT DMG.	3
5	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	Laser Cluster	Pinging a Red Orb after any 3-Ping will trigger Laser Cluster to deal 10 times of Physical DMG to a wide area.	6
6	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu02.png	Recommended Combo	Attract the nearby enemies by a Yellow Orb 3-Ping, then ping a Red Orb to unleash "Laser Cluster" that deals substantial DMG to multiple enemies.	5
7	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka01.png	Wing Shot	Gains additional Energy when hitting enemies with a Yellow Orb Combo to speed up using of Signature Move.	8
8	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka02.png	Recommended Combo	Triggers 3 times of "Passive: Quiver of Mercy" by any 3-Ping and stores 3 energy arrows. Then perform a Signature Move to deal great Physical DMG.	9
9	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka03.png	Recommended Combo	Adds maximum damage to the weapon with a Blue Orb 3-Ping, then deals high damage with Basic Attacks.	7
10	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	EX - Slash Storm	Core Passive: When pinging a Yellow Orb after any 3-Ping, Nanami will use EX - Slash Storm and launch 8 consecutive attacks at surrounding targets, dealing * Physical DMG per attack.	11
11	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi02.png	Recommended Combo	Quickly dash at the target location with a Red Orb 3-Ping, then ping a Yellow Orb to perform "Ex - Slash Storm" to deal high Physical DMG.	12
12	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi03.png	Recommended Combo	Pull the nearby enemies by a Blue Orb 3-Ping, then ping a Yellow Orb to perform "Ex - Slash Storm" and deal Physical DMG to a wide area.	10
13	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei02.png	Offence-Defense Rhythm	Counterattacks and unleashes sword waves after a successful block, dealing Physical DMG to the enemy and increasing your own DMG.	14
14	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei03.png	Great Slash	Slash deals 1 additional damage when performing a Red Orb 3-Ping.	13
15	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie01.png	Artillery Tactics	After 3 times of 3-Ping or performing a Signature Move, Karenina will Burst for 3 seconds and the next Basic Attack will become a ranged artillery attack.	16
16	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie02.png	Artillery Tactics	After 3 times of 3-Ping or performing a Signature Move, Karenina will Burst for 3 seconds and the next Basic Attack will become a ranged artillery attack.	17
17	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie03.png	Recommended Combo	Ping a Blue Orb to gather the enemies, then use a Signature Move to deal area damage and trigger Passive: Burst Mode to deal high damage.	18
18	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie04.png	Recommended Combo	Marks the enemy by a Yellow Orb 3-Ping and enters Burst Mode, dealing Physical and Fire DMG by triggering the Mark to explode.	15
