Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
200100010	Scene00906a	30150115	PB1	PB2	PB3	PB4	PB5	B105	B105	B105	B105	B105	door1	door2						
200100020	Scene01003	30090501	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100030	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100040	Scene90103	20010201	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100050	Scene00906a	30150115	PB1	PB2	PB3	PB4	PB5	B105	B105	B105	B105	B105	door1	door2						
200100060	Scene01003	30090501	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100070	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100080	Scene90103	20010201	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100110	Scene01002a	20010011	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100120	Scene01003	20010012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100130	Scene00901a	20010013	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100140	Scene00901a	20010013	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100150	Scene01002a	20010011	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100160	Scene01003	20010012	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100170	Scene00901a	20010013	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100180	Scene00901a	20010013	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100190	Scene01201	99920011	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100200	Scene01201a	99920012	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100210	Scene01106	99920015	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100220	Scene01206	99920016	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100230	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100240	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100250	Scene01201	99920011	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100260	Scene01201a	99920012	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100270	Scene01106	99920015	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100280	Scene01206	99920016	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100290	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100300	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100310	Scene01201	99920011	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100320	Scene01201a	99920012	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100330	Scene01106	99920015	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100340	Scene01206	99920016	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100350	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100360	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100370	Scene01201	99920011	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100380	Scene01201a	99920012	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
200100390	Scene01106	99920015	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100400	Scene01206	99920016	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
200100410	SceneDLC00101	20000401	PB1	PB2	PB3	PB4	PB5	ZX1	ZX1	ZX1	ZX1	ZX1								
200100420	Scene07005	20010102	PB1	PB2	PB3	PB4	PB5	B101	B101	B101	B101	B101								
