Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
130113120	Scene00005a	13011312	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130113150	Scene00402e	13011315	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130114140	Scene01006	13011414	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130114160	Scene01007	13011416	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130115150	Scene00504a	13011515	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130115160	Scene00301d	13011516	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130116140	Scene00004b	13011614	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130116150	Scene07001	13011615	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130117130	Scene00303a	13011713	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130117160	Scene00401a	13011716	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130118140	Scene00402a	13011814	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
130118160	Scene00402e	13011816	PB1	PB2	PB3	PB4	PB5	S1	S1	S1	S1	S1								
