Id	IsMask	MaskTarget	Type	Icon	Name	DescriptionType	Text	Duration
1	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	2	UiGuideFight.GuideFight1	
2	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Lee	2	UiGuideFight.GuideFight6	
3	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Nanami	2	UiGuideFight.GuideFight5	
4	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Bianca	2	UiGuideFight.GuideFight3	
5	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	1	Commandant, the current file extraction time limit has been exceeded.	
101	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Let us move forward, Commandant.	
102	1	AttackButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Hit the enemy repeatedly with <color=#ffda58>Basic Attacks</color> to receive a [Signal Orb].	
103	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Tap to ping us with a <color=#ff5656>[Signal Orb]</color> to use a Construct-specific Skill.	
104	1	PanelBallBox/TopThreeBalls	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Tap 3 adjacent <color=#ff5656>[Orbs]</color> of the same color to [3-Ping] for a powerful blow.	
105	1	DodgeButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	If you <color=#ffda58>[Dodge]</color> before being hit, you will enter the [Matrix] state.	
106	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	In [Matrix] state, a <color=#ffda58>Single Orb</color> has the same effect as a <color=#ffda58>[3-Ping]</color>.	
107	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	<color=#ffda58>Yellow Orb</color>: Knocks enemies airborne and inflicts damage.	
108	1	PanelBallBox/TopThreeBalls	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Pinging a <color=#ff5656>[Red Orb]</color> after any <color=#ffda58>[3-Ping]</color> will trigger [Lotus Dual Blade].	
109	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Pinging a <color=#ff5656>[Red Orb]</color> after any <color=#ffda58>[3-Ping]</color> will trigger [Lotus Dual Blade].	
110	1	ExSkillButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Hit enemies to generate Energy. Use Energy for <color=#ff5656>[Signature Moves]</color>.	
111	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Pinging a <color=#ff5656>[Red Orb]</color> after any <color=#ffda58>[3-Ping]</color> will trigger <color=#ff5656>[Lotus Dual Blade]</color>.	
112	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	<color=#49e7ff>Blue Orb</color>: Enhances all attacks to deal additional Fire DMG.	
113	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Let us advance towards the target, Commandant.	
